geneID	319_1_mouse_C57Bl6_Adip_iBA_1	319_2_mouse_C57Bl6_Adip_ScWA_2	319_3_mouse_C57Bl6_Adip_ScWA_3	319_4_mouse_C57Bl6_Adip_ScWA_4	319_5_mouse_C57Bl6_Adip_VisWA_1	319_6_mouse_C57Bl6_Adip_VisWA_2	319_7_mouse_C57Bl6_Adip_VisWA_3	319_8_mouse_C57Bl6_Adip_VisWA_4	319_9_mouse_C57Bl6_Adip_ScWA_1	319_11_mouse_C57Bl6_Adip_iBA_3	319_12_mouse_C57Bl6_Adip_iBA_4	319_13_mouse_SV129_Adip_ScWA_1	319_14_mouse_SV129_Adip_ScWA_2	319_15_mouse_SV129_Adip_ScWA_3	319_16_mouse_SV129_Adip_ScWA_4	319_17_mouse_SV129_Adip_VisWA_1	319_18_mouse_SV129_Adip_VisWA_2	319_19_mouse_SV129_Adip_VisWA_3	319_20_mouse_SV129_Adip_VisWA_4	319_21_mouse_SV129_Adip_iBA_1	319_22_mouse_SV129_Adip_iBA_2	319_23_mouse_SV129_Adip_iBA_3	319_24_mouse_SV129_Adip_iBA_4
ENSMUSG00000016998	2.625	0.284	0.566	0.129	433.924	4.537	5.316	24.505	2.805	0.307	5.716	0	0	0	0.068	0	0	0	1.270	0	0.164	0	0
ENSMUSG00000017000	0.448	0	0.172	0	93.516	1.005	1.002	7.441	0.730	0	1.521	0	0	0	0	0	0	0	0.640	0	0.112	0	0
ENSMUSG00000017002	0	0.320	0.326	0.311	21.604	6.297	25.991	12.882	0.223	0.208	0.090	0.550	0.689	0.328	0.185	3.023	2.969	3.327	2.881	0	0.068	0	0
ENSMUSG00000017003	0.101	0	0.077	0	37.580	0.684	0.586	2.838	0.171	0	0.628	0	0	0	0	0.040	0	0	0.166	0	0.050	0	0
ENSMUSG00000017004	3.342	0.745	1.290	0.558	628.651	7.494	7.326	35.814	5.086	0.268	9.423	0	0	0.170	0	0.300	0	0	1.833	0.160	0	0	0.099
ENSMUSG00000017007	0.024	0.021	0.009	0.057	0	0.055	0.027	0.030	0.020	0.034	0.011	0.259	0.088	0.442	0.030	0	0	0.010	0.040	0.106	0.061	0.133	0.038
ENSMUSG00000017009	27.041	46.368	23.580	41.134	32.601	46.487	56.672	29.181	63.619	33.901	16.449	97.058	35.685	51.449	25.726	19.723	16.027	22.589	15.670	12.219	5.624	21.552	13.218
ENSMUSG00000017049	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.056	0	0	0	0	0	0
ENSMUSG00000017057	0.210	0.406	0.384	0.874	1.207	0.845	0.614	0.630	1.026	0.317	0.248	1.996	1.427	1.597	1.863	1.649	1.784	1.692	1.922	1.308	0.950	0.912	1.069
ENSMUSG00000017119	27.098	52.384	47.815	42.454	44.153	42.811	42.616	43.335	41.209	54.023	33.229	53.675	57.101	57.245	51.557	55.517	62.818	61.174	64.791	51.869	38.053	62.097	45.255
ENSMUSG00000017132	53.568	16.107	13.222	18.712	20.306	17.379	15.264	17.280	18.342	36.431	44.850	19.262	20.010	25.546	27.633	25.538	23.962	27.964	26.076	46.747	24.522	36.556	30.207
ENSMUSG00000017144	2.201	120.536	68.465	85.500	47.737	83.179	77.767	45.230	133.886	8.565	5.117	93.515	44.668	51.181	35.555	30.684	21.231	28.646	24.757	5.166	5.018	14.677	4.816
ENSMUSG00000017146	0.031	0.071	0.051	0.128	0.186	0.139	0.067	0.150	0.059	0.119	0.074	0.169	0.203	0.203	0.129	0.216	0.119	0.092	0.330	0.136	0.128	0.090	0.094
ENSMUSG00000017165	0	0	0	0	0	0.097	0	0	0	0.122	0	0.117	0.104	0.116	0	0	0	0	0.213	0	0.520	0.258	0.135
ENSMUSG00000017167	14.793	6.728	6.510	6.499	3.467	4.353	3.837	3.450	5.089	9.469	8.738	2.517	3.784	4.662	3.319	1.922	2.061	2.189	2.094	2.499	2.429	6.103	4.162
ENSMUSG00000017176	9.576	6.166	8.660	10.294	12.190	7.525	10.125	8.558	8.761	4.978	8.774	7.035	8.364	8.473	8.604	9.088	12.137	10.984	10.955	7.494	6.578	8.122	6.038
ENSMUSG00000017188	93.162	36.654	38.645	43.085	64.840	40.898	46.600	44.116	42.894	52.346	69.422	28.995	35.599	31.885	37.232	31.559	33.206	32.919	32.295	26.374	21.216	33.103	33.288
ENSMUSG00000017195	1.266	0.126	0.300	0.325	0.183	0.185	0.106	0.077	0.508	0.368	0.374	0.216	0.325	0.561	0.442	0.181	0.221	0.239	0.117	0.236	0.163	0.617	0.425
ENSMUSG00000017204	0.022	0	0	0	0.093	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000017210	21.072	13.732	13.212	12.868	12.126	13.374	14.166	9.705	13.085	13.599	17.849	15.407	14.483	12.480	15.287	13.001	15.296	17.157	17.306	9.973	10.245	14.652	13.549
ENSMUSG00000017221	74.960	49.987	54.878	51.089	62.186	50.884	49.872	50.871	50.873	51.208	62.168	51.821	50.300	50.464	49.570	48.468	57.135	51.733	42.514	34.602	28.636	39.427	36.211
ENSMUSG00000017264	25.321	17.835	19.801	17.683	20.801	17.236	19.270	19.194	19.848	17.247	19.374	16.322	18.535	17.431	18.517	17.338	20.169	21.442	19.059	18.809	13.650	19.872	17.085
ENSMUSG00000017286	33.813	51.121	56.039	53.980	67.044	48.005	57.152	61.404	57.852	46.330	49.470	55.506	62.706	57.005	56.513	63.499	65.430	67.064	60.816	32.199	29.292	37.810	39.420
ENSMUSG00000017288	11.416	18.947	17.856	18.301	21.170	19.034	25.509	24.093	16.632	13.138	15.734	19.340	19.073	20.580	19.322	23.813	23.615	21.315	18.663	12.021	8.887	10.961	10.729
ENSMUSG00000017291	2.300	12.514	12.025	12.574	5.948	13.784	8.186	11.533	10.608	7.636	3.996	14.348	14.082	16.049	12.467	16.462	17.211	15.462	17.140	12.246	7.820	13.347	9.697
ENSMUSG00000017299	12.960	7.431	9.042	8.856	13.181	9.845	10.950	11.008	9.421	7.806	12.337	8.153	9.733	9.672	11.220	9.255	11.924	12.490	10.741	8.177	5.619	7.812	8.899
ENSMUSG00000017300	1.694	1.232	2.010	1.149	1.641	1.094	1.330	0.853	1.177	0.761	1.280	0.970	0.471	0.910	0.406	0.372	0.305	0.313	0.349	1.040	1.110	0.994	2.197
ENSMUSG00000017307	11.973	5.181	6.201	5.398	9.215	5.001	6.535	4.357	6.593	6.566	8.003	6.756	6.115	7.033	6.301	6.534	4.799	5.220	4.245	5.153	3.123	6.933	5.202
ENSMUSG00000017309	245.813	35.584	28.358	52.330	71.152	46.625	40.819	46.676	59.219	118.742	214.239	140.285	115.312	127.857	185.178	150.202	147.013	194.153	143.628	356.080	190.706	256.336	251.098
ENSMUSG00000017310	0	0	0	0	0.063	0	0	0.133	0	0	0	0	0	0	0	0	0	0	0.065	0	0	0	0
ENSMUSG00000017311	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.202	2.373	2.296	0.459	0.113	0	0
ENSMUSG00000017314	7.275	5.130	4.206	5.029	4.992	4.259	4.561	4.162	4.609	4.694	5.825	4.854	5.151	5.054	5.814	4.763	3.815	4.165	3.993	6.607	4.819	5.882	7.064
ENSMUSG00000017316	0	0	0	0	0	0	0	0	0	0	0.334	0	0	0	0	0	0.219	9.934	3.955	0.971	0	0.244	0.127
ENSMUSG00000017344	9.939	3.614	4.158	5.120	14.385	10.993	12.222	9.187	5.429	3.544	6.223	5.089	5.197	4.096	5.622	7.784	12.157	11.796	8.370	3.185	3.925	4.018	5.601
ENSMUSG00000017376	2.793	6.574	6.001	5.043	5.617	7.309	7.222	7.603	5.681	4.004	2.759	5.515	6.508	6.237	6.372	6.996	8.258	7.321	7.800	5.872	4.021	5.694	5.122
ENSMUSG00000017386	57.343	10.007	13.177	13.496	22.386	9.107	9.955	11.025	20.174	25.466	30.817	8.712	11.190	14.570	13.930	7.789	10.765	11.372	9.436	10.530	8.205	16.528	14.867
ENSMUSG00000017390	0.526	0.074	0	0.145	0.310	0.246	0.390	0.204	0.138	0.757	1.432	0.068	0.227	0.076	0.377	0.435	0.437	0.256	0.223	0.806	1.148	0.780	0.630
ENSMUSG00000017400	0.039	0.101	0.015	0.015	0.499	0.088	0.096	0.163	0.097	0.037	0	0.176	0.109	0.070	0.123	0.571	0.315	0.527	0.641	0.110	0.059	0.019	0.041
ENSMUSG00000017404	289.048	131.500	130.880	142.028	226.665	143.871	175.282	155.531	19.729	141.265	216.721	133.390	134.916	134.312	151.938	149.344	149.916	174.519	151.039	118.754	84.435	124.513	126.592
ENSMUSG00000017405	3.321	2.206	1.685	2.135	2.333	2.720	2.904	2.128	2.683	2.245	2.186	3.166	3.186	2.087	1.888	2.384	3.785	2.622	2.724	1.642	1.374	1.592	1.259
ENSMUSG00000017412	0.018	0.092	0.083	0.119	0.831	0.113	0.073	0.096	0.088	0.065	0.049	0.095	0.293	0.103	0.096	0.063	0.056	0.112	0.104	0.072	0.027	0.062	0.046
ENSMUSG00000017417	0.250	0.064	0.075	0.156	0.612	0.333	0.326	0.331	0.153	0.058	0.335	0.213	0.215	0.116	0.288	0.701	1.018	1.173	0.780	0.105	0.147	0.124	0.215
ENSMUSG00000017418	2.710	21.335	11.869	16.238	10.074	11.959	10.030	8.212	16.732	6.038	5.305	18.291	11.879	14.729	11.330	11.543	10.415	12.584	11.591	9.748	5.289	10.536	6.101
ENSMUSG00000017421	39.204	51.452	60.800	59.745	59.072	63.716	65.111	66.720	57.396	41.397	42.951	47.932	48.057	43.990	51.147	58.432	59.280	60.600	60.531	48.324	29.566	33.794	36.444
ENSMUSG00000017428	33.178	65.527	68.434	63.466	51.578	50.248	53.041	60.175	63.355	39.600	46.205	62.295	63.368	55.431	51.882	53.751	55.624	55.959	56.898	36.886	27.554	43.380	32.352
ENSMUSG00000017446	8.917	8.128	6.659	10.446	19.152	17.506	21.640	14.768	7.849	4.709	9.316	20.867	12.448	16.419	15.902	31.274	24.930	27.701	26.012	28.958	16.189	16.118	17.362
ENSMUSG00000017453	0.030	0.449	0.360	0.362	0.143	0.146	0.119	0.155	0.365	0.056	0.185	0.273	0.168	0.134	0.274	0.248	0.107	0.075	0.098	0.080	0	0.273	0.166
ENSMUSG00000017466	5.327	3.875	5.474	7.983	20.414	12.193	19.595	10.796	13.532	1.906	4.710	17.020	10.699	9.411	12.783	23.333	28.071	32.809	25.233	5.126	8.624	5.126	7.848
ENSMUSG00000017485	6.165	28.939	24.646	25.246	16.477	29.614	18.235	23.665	29.273	19.356	11.926	33.624	33.293	37.957	30.421	39.277	39.115	42.033	44.001	29.294	21.773	36.373	31.405
ENSMUSG00000017491	3.360	0.514	0.546	0.821	0.487	0.665	0.427	0.574	0.595	4.069	3.434	2.566	2.311	2.235	3.230	2.266	2.535	1.623	2.272	2.160	2.147	3.954	2.779
ENSMUSG00000017493	89.380	402.608	447.026	418.326	499.187	353.821	417.031	366.942	444.738	55.783	79.749	193.867	184.092	196.957	198.713	258.974	221.780	290.117	237.966	32.452	37.800	39.678	45.383
ENSMUSG00000017499	2.175	1.924	1.345	1.598	2.221	1.493	1.287	0.872	2.718	1.611	2.907	2.216	0.920	0.763	1.127	1.329	0.984	1.441	1.561	2.951	1.873	2.348	1.604
ENSMUSG00000017548	2.940	20.831	16.015	17.023	10.480	17.300	11.085	16.385	17.873	12.699	8.364	23.490	20.581	24.994	22.019	21.751	26.411	24.675	26.735	20.845	13.648	23.919	16.034
ENSMUSG00000017550	0.080	0.420	0.516	0.631	0.169	0.525	0.323	0.582	0.387	0.234	0.132	0.427	0.633	0.531	0.451	1.123	0.769	0.584	0.953	0.646	0.489	0.531	0.523
ENSMUSG00000017561	6.111	5.120	5.999	4.495	5.074	5.621	5.069	4.071	5.349	5.777	7.544	6.475	6.091	6.174	7.040	7.817	6.292	7.606	6.702	8.252	4.332	7.266	6.682
ENSMUSG00000017607	0.013	0.029	0.019	0.072	0.050	0.077	0.143	0.021	0.084	0	0.011	0.056	0.085	0.029	0.077	0.075	0.145	0.116	0.271	0	0.013	0.012	0
ENSMUSG00000017615	22.648	14.233	14.844	15.861	19.799	16.732	16.483	17.063	14.391	18.728	24.236	17.836	21.656	20.634	24.000	20.992	23.964	24.451	24.307	29.412	23.580	28.074	26.099
ENSMUSG00000017631	5.022	1.941	1.557	2.453	4.349	2.642	2.557	3.289	1.625	4.362	6.758	5.147	5.572	5.126	6.248	6.515	7.339	8.140	7.322	11.323	6.969	8.463	7.179
ENSMUSG00000017639	0.214	0.320	0.257	0.587	0.286	0.244	0.462	0.195	0.246	0.220	0.243	1.388	1.030	1.172	1.050	0.842	0.448	0.281	0.444	0.204	0.292	0.423	0.355
ENSMUSG00000017652	2.180	0.198	0.470	0.546	1.704	0.628	0.967	0.680	0.845	1.324	1.899	1.191	0.573	0.737	1.112	1.528	0.927	1.648	1.297	2.467	2.649	1.893	1.636
ENSMUSG00000017664	8.546	11.861	13.146	13.418	12.935	9.997	12.210	11.317	11.111	6.382	7.220	10.453	11.488	11.094	11.587	9.747	11.599	10.666	10.794	2.980	5.339	6.881	5.616
ENSMUSG00000017667	0.351	0.285	0.336	0.361	0.215	0.317	0.240	0.237	0.280	0.404	0.331	0.353	0.465	0.501	0.509	0.488	0.553	0.545	0.590	0.791	0.605	0.688	0.605
ENSMUSG00000017670	16.200	13.761	15.150	13.070	10.912	12.018	11.728	10.676	11.041	12.807	14.640	11.855	15.350	18.916	15.456	14.525	17.921	16.846	17.883	12.135	7.497	15.723	10.049
ENSMUSG00000017677	7.148	32.360	20.604	33.010	29.751	45.859	23.306	23.987	51.792	23.944	30.836	93.267	52.859	60.301	64.456	67.734	64.158	59.324	54.901	65.366	43.451	68.132	38.915
ENSMUSG00000017679	2.854	5.971	6.861	6.552	7.125	9.686	7.800	7.999	7.364	5.485	6.087	11.351	7.071	8.237	7.873	9.424	10.396	9.525	9.819	5.266	3.944	6.208	4.886
ENSMUSG00000017686	14.129	27.852	28.610	28.335	24.180	27.539	24.335	26.607	28.503	27.353	18.509	25.734	29.125	30.225	28.442	27.804	29.831	27.596	29.401	25.128	19.934	32.302	22.797
ENSMUSG00000017688	0	0	0	0	0	0	0	0	0	0	0.049	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000017692	1.397	0.918	0.972	0.893	7.044	7.324	6.542	8.200	0.719	0.676	0.988	0.848	1.085	1.235	1.156	3.920	7.637	6.033	5.218	1.348	1.264	1.560	1.311
ENSMUSG00000017697	1.776	0.986	0.763	1.030	1.807	1.248	0.582	0.943	1.533	1.472	2.705	6.615	4.639	3.886	4.277	3.977	4.699	4.777	3.851	3.208	1.997	3.729	2.946
ENSMUSG00000017707	155.314	127.586	110.259	149.004	210.067	201.583	190.552	195.654	166.624	186.760	234.956	139.743	114.823	113.778	126.017	163.197	150.129	152.083	156.596	132.779	89.814	106.061	99.476
ENSMUSG00000017713	6.846	2.059	2.234	1.783	2.530	1.418	1.640	1.886	1.878	3.687	5.472	2.502	3.670	2.734	2.891	2.503	2.039	2.415	1.974	2.131	2.102	3.250	2.810
ENSMUSG00000017715	15.483	17.129	18.564	16.740	20.386	18.918	17.405	18.943	18.142	10.263	12.781	16.693	17.369	17.834	16.435	14.587	18.776	17.601	15.564	7.721	7.491	10.252	9.342
ENSMUSG00000017716	0.203	0.098	0.146	0.355	1.704	0.521	0.381	0.368	0.315	0.047	0.136	0.567	0.302	0.405	0.473	0.298	0.016	0.331	0.877	0.256	0.126	0.125	0.131
ENSMUSG00000017718	0.897	0.974	0.893	1.061	0.580	1.946	1.186	0.961	0.866	0.862	1.028	1.093	0.888	0.536	1.236	1.090	1.509	0.734	1.279	0.150	0.530	0.679	0.164
ENSMUSG00000017720	0.070	0	0	0	0	0.052	0	0	0	0.060	0.058	0	0	0	0	0.050	0	0.163	0.052	0	0	0.064	0
ENSMUSG00000017721	17.667	17.747	16.685	14.550	20.868	18.615	18.759	15.898	14.327	9.861	13.048	19.142	17.681	17.377	16.340	20.140	22.269	21.268	19.960	12.430	10.100	12.300	10.340
ENSMUSG00000017723	0.071	0	0	0	0	0.053	0	0	0	0	0	0	0	0	0	0.119	0.508	0.244	0.228	0	0	0.138	0
ENSMUSG00000017724	0	0	0.057	0.020	0.056	0.084	0.101	0	0	0.069	0.023	0	0.059	0	0.021	0.053	0.046	0.132	0.021	0	0.107	0.127	0.070
ENSMUSG00000017734	13.778	7.984	6.616	9.138	20.969	15.048	18.454	16.782	8.184	6.803	12.069	10.288	12.507	9.935	11.748	17.435	15.363	15.648	15.436	10.223	8.146	11.448	9.901
ENSMUSG00000017737	0.132	0.430	0.072	0.491	1.419	0.575	0.315	0.376	0.738	0.151	0.132	0.283	0.399	0.331	0.289	0.496	0.267	0.619	0.400	0.279	0.146	0.094	0.020
ENSMUSG00000017740	1.146	0.181	0.130	0.228	0.375	0.278	0.136	0.235	0.130	0.653	0.838	0.446	0.635	0.551	0.688	0.547	0.629	0.769	0.722	1.652	1.417	1.257	1.544
ENSMUSG00000017747	11.217	7.005	6.407	6.954	12.922	8.918	8.600	8.395	6.171	6.813	7.714	5.605	6.974	5.911	7.223	7.662	7.695	6.142	6.907	3.785	3.837	4.783	4.776
ENSMUSG00000017754	129.064	62.123	52.010	65.714	55.188	37.306	30.559	30.759	76.800	59.382	109.209	97.601	66.961	74.323	87.226	63.295	54.436	60.102	52.343	85.294	46.460	49.857	60.905
ENSMUSG00000017756	27.503	11.936	11.112	12.466	11.636	10.648	9.768	9.892	12.371	16.623	19.162	18.343	15.592	17.994	17.607	16.183	15.455	18.504	17.004	20.626	15.284	21.308	18.632
ENSMUSG00000017760	77.727	80.889	84.059	84.254	95.714	83.471	98.479	83.764	77.291	42.137	64.045	71.278	71.371	70.408	67.309	71.978	74.113	79.562	76.466	40.135	37.285	49.755	40.089
ENSMUSG00000017764	4.592	2.284	3.165	2.952	3.949	2.144	2.561	4.389	1.834	3.773	3.786	2.782	4.112	3.579	3.169	2.941	3.558	4.186	2.930	2.451	1.721	2.751	2.190
ENSMUSG00000017765	12.487	13.188	14.011	12.948	22.005	18.859	21.260	18.777	11.850	6.161	10.505	15.292	14.350	13.750	15.211	21.045	20.978	21.349	20.153	11.155	7.924	10.364	9.876
ENSMUSG00000017767	0.076	0	0	0	0	0	0	0	0.656	0.428	0.430	0	0.194	0.467	0.063	0.455	0.137	0.410	0.441	0.388	0.636	1.122	0
ENSMUSG00000017774	88.322	90.602	93.467	95.252	157.254	140.439	154.708	136.255	80.895	54.740	73.525	90.159	86.234	79.689	85.861	137.831	125.152	126.696	126.723	58.062	39.876	54.400	48.357
ENSMUSG00000017776	15.145	37.209	35.565	40.657	34.382	39.593	31.336	37.886	47.496	36.275	20.812	52.150	45.064	45.117	46.976	49.998	50.537	47.830	51.779	54.119	37.675	47.738	43.395
ENSMUSG00000017778	589.337	135.301	139.320	143.218	185.327	124.055	139.665	145.575	154.635	327.984	390.249	107.881	121.402	115.722	135.787	93.807	88.719	91.809	82.816	99.214	70.890	157.638	161.692
ENSMUSG00000017781	40.291	39.801	38.463	40.217	50.444	47.340	47.905	47.039	50.686	35.705	42.285	46.358	48.666	44.961	50.035	52.626	52.779	54.753	52.050	41.653	27.881	38.288	34.148
ENSMUSG00000017801	57.183	35.608	51.643	43.126	38.337	27.852	28.640	41.195	52.139	35.577	48.281	26.671	35.337	40.068	36.984	24.495	29.735	30.949	27.438	25.455	21.080	35.660	27.008
ENSMUSG00000017802	53.157	28.675	29.610	29.422	28.808	24.294	25.027	25.375	31.316	33.481	43.777	21.065	25.806	26.674	26.361	21.859	24.146	24.847	23.996	24.861	18.969	28.184	22.334
ENSMUSG00000017817	0.669	0.198	0.133	0.145	0.826	0.442	0.366	0.473	0.176	0.213	0.464	0.194	0.195	0.270	0.431	0.526	0.444	0.743	0.488	0.175	0.341	0.240	0.442
ENSMUSG00000017830	3.083	3.403	4.550	5.036	4.048	2.734	3.891	4.169	4.081	2.210	3.601	3.461	2.596	5.111	3.250	2.463	2.674	3.279	2.603	1.683	2.184	2.905	2.276
ENSMUSG00000017831	10.081	36.012	30.966	34.992	24.393	33.954	29.135	32.284	37.132	23.382	15.241	39.980	32.580	33.553	31.476	40.329	38.991	35.661	40.667	24.395	15.914	24.584	17.866
ENSMUSG00000017832	0.276	0.080	0	0.216	0.263	0.069	0.069	0.076	0.374	0.086	0.249	1.071	0.263	0.246	0.534	0.130	0.246	0.231	0.375	0.334	0.275	0.091	0.095
ENSMUSG00000017837	41.990	13.075	13.919	13.780	18.705	14.717	18.324	17.332	13.753	17.622	25.588	12.095	12.811	12.819	13.244	15.415	13.396	16.561	14.197	10.819	9.176	14.095	12.519
ENSMUSG00000017843	9.115	12.575	11.450	12.854	12.057	13.367	12.391	12.907	13.005	13.002	10.613	14.151	14.745	15.163	15.862	17.076	17.576	17.484	19.139	18.067	13.599	16.399	15.882
ENSMUSG00000017858	15.554	18.880	16.142	20.242	24.581	21.316	21.526	23.517	18.046	15.676	17.869	23.333	21.749	19.227	21.517	26.273	24.587	25.209	24.811	12.404	13.021	15.231	15.522
ENSMUSG00000017861	0.265	0.396	0.313	0.511	0.330	0.185	0.401	0.507	0.502	0.312	0.414	0.902	0.288	0.591	0.589	0.416	0.229	0.198	0.170	0.181	0.367	0.359	0.404
ENSMUSG00000017868	0.338	0	0	0	0.071	0	0	0	0	0.063	0.040	0.060	0.018	0	0	0	0	0.037	0.018	0.045	0	0	0
ENSMUSG00000017897	0.614	0.537	0.252	0.053	3.951	1.543	1.732	0.899	0.152	0.322	0.186	0.098	0.106	0.262	0.218	1.052	0.584	0.548	0.557	0.397	0.785	0.556	0.809
ENSMUSG00000017914	2.519	44.932	33.801	33.402	27.824	46.899	42.276	34.121	30.528	12.367	7.527	27.966	39.292	30.838	27.156	42.785	44.236	41.756	52.687	6.389	14.679	22.434	9.321
ENSMUSG00000017929	1.930	1.738	1.181	2.289	2.946	2.165	2.210	1.303	2.640	1.171	1.707	6.565	3.299	3.800	3.452	3.404	3.227	2.673	3.389	2.015	1.717	3.345	1.402
ENSMUSG00000017943	0	0	0.118	0	0.040	0.041	0.119	0.061	0	0	0.024	0	0	0.048	0	0.058	0	0.023	0.134	0	0.074	0	0
ENSMUSG00000017950	0	0	0.011	0	0	0	0.020	0.011	0	0	0	0.012	0	0.012	0	0.011	0	0.097	0.022	0	0	0.014	0
ENSMUSG00000017969	0.629	0.272	0.469	0.569	4.125	1.897	4.782	1.410	0.482	0.533	1.002	0.499	0.486	0.427	0.615	1.973	1.890	2.378	1.508	0.260	0.419	0.056	0.361
ENSMUSG00000017978	0.583	3.186	2.598	3.214	1.496	1.396	1.442	1.577	3.477	1.284	0.986	2.108	2.539	2.698	2.376	1.455	1.816	1.618	1.349	2.205	1.746	2.301	1.574
ENSMUSG00000017999	11.329	28.242	29.668	26.601	37.387	33.315	32.759	36.420	24.785	12.373	13.813	21.089	27.035	20.720	24.288	23.838	26.429	25.453	29.914	9.933	10.470	11.189	10.962
ENSMUSG00000018001	7.316	5.189	5.855	7.438	8.566	9.446	9.949	9.439	6.354	6.996	9.160	9.188	7.395	8.250	9.083	12.382	13.219	13.168	12.308	10.695	7.834	8.165	8.978
ENSMUSG00000018008	0.451	0.335	0.412	0.842	2.817	1.975	0.944	1.391	1.435	0.040	0.408	1.731	1.743	1.339	0.802	3.173	2.526	2.898	3.345	0.457	0.321	0.277	0.333
ENSMUSG00000018012	4.246	0.680	0.934	0.857	1.924	2.461	1.683	1.620	0.842	2.032	3.710	1.982	2.521	1.923	2.858	1.939	3.485	2.545	2.384	8.101	4.533	5.563	5.432
ENSMUSG00000018040	19.142	22.424	18.702	23.662	28.311	23.518	27.893	27.198	17.459	11.509	18.326	16.122	20.780	19.948	18.997	22.188	20.223	23.724	22.358	11.926	8.045	13.405	10.935
ENSMUSG00000018042	115.866	98.533	95.129	102.121	144.131	140.571	158.082	145.623	93.540	90.875	125.557	119.324	111.000	104.612	112.082	148.692	153.642	149.027	145.092	92.116	73.824	70.571	85.249
ENSMUSG00000018068	2.397	6.320	7.006	5.704	2.718	5.753	3.804	6.824	4.658	5.263	3.369	7.084	6.636	7.154	6.875	4.720	6.875	5.784	5.502	3.162	3.780	7.077	4.192
ENSMUSG00000018076	6.525	8.347	7.175	8.431	6.286	8.445	6.902	6.452	6.998	9.710	6.376	11.272	9.723	10.803	9.898	10.319	10.930	11.055	9.794	10.938	6.612	13.171	9.120
ENSMUSG00000018102	65.106	54.031	54.367	60.976	92.798	67.085	76.350	72.954	56.553	41.247	70.037	38.226	57.816	49.916	46.637	42.809	38.890	38.154	42.503	19.953	24.120	27.515	24.598
ENSMUSG00000018126	1.142	1.085	1.911	2.559	1.131	0.321	0.703	0.440	2.568	0.438	0.233	1.045	0.588	1.007	1.476	1.327	0.421	0.253	0.521	0.461	0.251	0.454	0.223
ENSMUSG00000018143	13.714	23.320	12.921	19.850	27.075	25.535	22.513	15.477	33.630	10.675	21.405	58.823	29.867	34.050	39.897	30.613	29.723	32.829	24.587	34.632	23.033	32.462	26.224
ENSMUSG00000018160	6.043	7.979	9.162	9.171	6.835	10.516	7.774	12.130	7.738	8.679	6.020	10.450	13.128	15.591	13.543	17.021	15.501	15.384	15.046	12.696	10.032	13.971	9.340
ENSMUSG00000018166	0.658	0.467	0.199	0.422	0.150	0.104	0.097	0.132	0.227	0.438	0.713	0.375	0.349	0.470	0.562	0.251	0.346	0.451	0.276	0.434	0.656	0.879	0.608
ENSMUSG00000018167	15.752	5.693	5.449	7.270	9.925	6.791	7.393	7.268	7.092	9.133	11.957	6.830	8.871	7.981	10.506	8.414	9.657	9.245	10.305	9.849	8.021	11.465	9.563
ENSMUSG00000018168	0.049	0.014	0.066	0.039	0.013	0.012	0.012	0.014	0.053	0.080	0.044	0.153	0.103	0.058	0.161	0.061	0.062	0.027	0.085	0.096	0.016	0.299	0.122
ENSMUSG00000018169	39.779	67.418	80.044	75.386	112.064	74.157	71.409	74.107	84.264	22.747	43.574	68.467	43.822	49.511	55.713	67.511	36.361	49.226	39.691	40.386	27.198	27.061	29.141
ENSMUSG00000018171	45.121	125.165	112.318	105.714	115.792	139.988	117.409	102.781	125.390	40.151	45.443	120.404	93.212	96.759	87.234	86.759	96.678	102.866	98.070	38.822	31.352	53.393	37.953
ENSMUSG00000018189	3.013	10.785	10.309	10.309	7.388	9.202	8.036	10.430	11.395	9.731	5.570	11.313	11.340	11.828	11.046	13.791	10.011	10.612	12.068	9.901	8.267	11.165	8.977
ENSMUSG00000018196	34.033	30.280	32.624	33.318	35.547	28.140	28.962	31.657	33.509	33.875	34.956	38.389	53.408	45.833	44.672	41.784	38.315	42.362	48.351	26.797	26.152	35.774	34.165
ENSMUSG00000018199	0.679	3.308	3.312	3.359	1.418	2.513	1.794	2.745	2.732	2.268	1.400	4.375	5.047	5.314	4.856	5.636	5.662	5.255	5.592	5.023	3.571	5.433	4.186
ENSMUSG00000018209	3.064	8.499	7.125	6.163	6.212	7.165	8.593	8.218	7.286	6.318	3.410	7.284	8.008	8.234	8.827	9.187	9.988	8.836	11.089	5.521	5.337	8.457	5.683
ENSMUSG00000018211	0	0	0	0	0.096	0	0	0.200	0	0	0	0	0	0	0	0	0.215	0	0.098	0	0	0	0
ENSMUSG00000018217	40.501	103.325	118.302	121.955	126.269	107.031	105.021	125.147	122.126	32.454	39.080	84.638	86.621	79.631	98.280	112.991	110.050	103.775	102.650	25.444	25.380	27.549	31.304
ENSMUSG00000018238	0.234	0.203	0.616	0.421	0.443	0.488	0.523	0.698	0.191	0.250	0.401	0.362	0.266	0.456	0.199	0.341	0.493	0.721	0.541	0.148	0.438	0.200	0.207
