geneID	319_1_mouse_C57Bl6_Adip_iBA_1	319_2_mouse_C57Bl6_Adip_ScWA_2	319_3_mouse_C57Bl6_Adip_ScWA_3	319_4_mouse_C57Bl6_Adip_ScWA_4	319_5_mouse_C57Bl6_Adip_VisWA_1	319_6_mouse_C57Bl6_Adip_VisWA_2	319_7_mouse_C57Bl6_Adip_VisWA_3	319_8_mouse_C57Bl6_Adip_VisWA_4	319_9_mouse_C57Bl6_Adip_ScWA_1	319_11_mouse_C57Bl6_Adip_iBA_3	319_12_mouse_C57Bl6_Adip_iBA_4	319_13_mouse_SV129_Adip_ScWA_1	319_14_mouse_SV129_Adip_ScWA_2	319_15_mouse_SV129_Adip_ScWA_3	319_16_mouse_SV129_Adip_ScWA_4	319_17_mouse_SV129_Adip_VisWA_1	319_18_mouse_SV129_Adip_VisWA_2	319_19_mouse_SV129_Adip_VisWA_3	319_20_mouse_SV129_Adip_VisWA_4	319_21_mouse_SV129_Adip_iBA_1	319_22_mouse_SV129_Adip_iBA_2	319_23_mouse_SV129_Adip_iBA_3	319_24_mouse_SV129_Adip_iBA_4
ENSMUSG00000092241	0.958	0.818	0.392	0.577	0.726	0.660	0.757	0.559	0.727	0.926	1.081	0.661	0.704	0.418	0.797	0.473	0.294	0.516	0.989	0.751	0.457	0.967	0.239
ENSMUSG00000092243	0.639	1.275	1.164	1.106	0.588	0.699	0.697	0.498	1.106	0.309	0.681	0.933	1.116	0.977	0.925	0.820	0.895	0.769	0.728	0.347	0.187	0.379	0.342
ENSMUSG00000092246	0	0	0.216	0.221	0	0.210	0	0	0.229	0	0.255	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000092247	0	0.258	0.570	0.736	1.134	0.419	0.416	0.348	0.239	0.179	0	0.514	0.343	0.256	0.612	0.538	0.242	0.261	0.332	0.053	0.058	0.259	0.167
ENSMUSG00000092249	0	0.055	0	0	0	0	0	0.064	0	0	0	0	0	0	0.061	0	0	0	0	0	0	0	0.052
ENSMUSG00000092252	0	0	0	0	0.253	0	0	0.090	0	0	0	0.181	0	0.270	0	0.226	0	0.465	0.110	0.117	0.576	0	0
ENSMUSG00000092254	0.522	0.092	0	0.338	1.026	0	0.488	0.409	0	1.173	0.467	4.716	0.766	4.004	3.753	3.857	4.277	3.808	3.652	4.333	3.017	3.893	3.365
ENSMUSG00000092255	0	0	0	0	0	0	0.039	0.039	0	0	0.048	0	0	0	0	0	0	0	0	0	0.036	0	0
ENSMUSG00000092257	1.918	0.554	0.860	0.509	0.944	0.576	0.629	1.250	0.390	1.271	2.455	0.535	0.925	0.779	0.907	0.849	0.791	0.830	0.710	0.506	0.361	0.934	0.593
ENSMUSG00000092258	0.758	0	0.035	0.276	0.121	0.245	0.669	0.543	0.769	0	0.140	0	0.241	0.183	0	0.621	1.762	0	0.309	0.490	0.816	2.045	0.331
